RprtDt,StateCd,SrvcDstrctNm,PrtcpntCnt
30-Jun-19,TAS,TAS North West,186
30-Jun-19,TAS,TAS South East,137
30-Jun-19,TAS,TAS South West,272
30-Jun-19,VIC,Barwon,361
30-Jun-19,VIC,Bayside Peninsula,723
30-Jun-19,VIC,Brimbank Melton,141
30-Jun-19,VIC,Central Highlands,217
30-Jun-19,VIC,Goulburn,81
30-Jun-19,VIC,Hume Moreland,178
30-Jun-19,VIC,Inner East Melbourne,686
30-Jun-19,VIC,Inner Gippsland,133
30-Jun-19,VIC,Loddon,223
30-Jun-19,VIC,Mallee,81
30-Jun-19,VIC,North East Melbourne,672
30-Jun-19,VIC,Outer East Melbourne,410
30-Jun-19,VIC,Outer Gippsland,68
30-Jun-19,VIC,Ovens Murray,136
30-Jun-19,VIC,Southern Melbourne,208
30-Jun-19,VIC,Western District,249
30-Jun-19,VIC,Western Melbourne,149
30-Jun-19,WA,Central North Metro,31
30-Jun-19,WA,Central South Metro,150
30-Jun-19,WA,Kimberley-Pilbara,30
30-Jun-19,WA,North East Metro,455
30-Jun-19,WA,North Metro,50
30-Jun-19,WA,South East Metro,27
30-Jun-19,WA,South Metro,232
30-Jun-19,WA,South West,81
30-Jun-19,WA,WA - Other,<11
31-Mar-19,ACT,ACT,407
31-Mar-19,NSW,Central Coast,382
31-Mar-19,NSW,Far West,20
31-Mar-19,NSW,Hunter New England,1558
31-Mar-19,NSW,Illawarra Shoalhaven,403
31-Mar-19,NSW,Mid North Coast,184
31-Mar-19,NSW,Murrumbidgee,298
31-Mar-19,NSW,Nepean Blue Mountains,481
31-Mar-19,NSW,North Sydney,815
31-Mar-19,NSW,Northern NSW,237
31-Mar-19,NSW,South Eastern Sydney,486
31-Mar-19,NSW,South Western Sydney,748
31-Mar-19,NSW,Southern NSW,180
31-Mar-19,NSW,Sydney,375
31-Mar-19,NSW,Western NSW,428
31-Mar-19,NSW,Western Sydney,881
31-Mar-19,NT,Barkly,13
31-Mar-19,NT,Central Australia,83
31-Mar-19,NT,Darwin Urban,148
31-Mar-19,NT,Katherine,21
31-Mar-19,QLD,Beenleigh,331
31-Mar-19,QLD,Brisbane,747
31-Mar-19,QLD,Bundaberg,142
31-Mar-19,QLD,Caboolture/Strathpine,77
31-Mar-19,QLD,Cairns,213
31-Mar-19,QLD,Ipswich,290
31-Mar-19,QLD,Mackay,98
31-Mar-19,QLD,Maroochydore,42
31-Mar-19,QLD,Maryborough,168
31-Mar-19,QLD,Robina,322
31-Mar-19,QLD,Rockhampton,206
