RprtDt,StateCd,SrvcDstrctNm,PrtcpntCnt
31-Mar-20,QLD,Maroochydore,71
31-Mar-20,QLD,Maryborough,69
31-Mar-20,QLD,Robina,60
31-Mar-20,QLD,Rockhampton,141
31-Mar-20,QLD,Toowoomba,210
31-Mar-20,QLD,Townsville,58
31-Mar-20,SA,Adelaide Hills,42
31-Mar-20,SA,"Barossa, Light and Lower North",31
31-Mar-20,SA,Eastern Adelaide,163
31-Mar-20,SA,Eyre and Western,26
31-Mar-20,SA,Far North (SA),20
31-Mar-20,SA,Fleurieu and Kangaroo Island,34
31-Mar-20,SA,Limestone Coast,46
31-Mar-20,SA,Murray and Mallee,85
31-Mar-20,SA,Northern Adelaide,588
31-Mar-20,SA,Southern Adelaide,552
31-Mar-20,SA,Western Adelaide,146
31-Mar-20,SA,Yorke and Mid North,37
31-Mar-20,TAS,TAS North,121
31-Mar-20,TAS,TAS North West,107
31-Mar-20,TAS,TAS South East,60
31-Mar-20,TAS,TAS South West,133
31-Mar-20,VIC,Barwon,278
31-Mar-20,VIC,Bayside Peninsula,703
31-Mar-20,VIC,Brimbank Melton,174
31-Mar-20,VIC,Central Highlands,220
31-Mar-20,VIC,Goulburn,83
31-Mar-20,VIC,Hume Moreland,185
31-Mar-20,VIC,Inner East Melbourne,697
31-Mar-20,VIC,Inner Gippsland,126
31-Mar-20,VIC,Loddon,231
31-Mar-20,VIC,Mallee,85
31-Mar-20,VIC,North East Melbourne,649
31-Mar-20,VIC,Outer East Melbourne,374
31-Mar-20,VIC,Outer Gippsland,63
31-Mar-20,VIC,Ovens Murray,137
31-Mar-20,VIC,Southern Melbourne,221
31-Mar-20,VIC,Western District,264
31-Mar-20,VIC,Western Melbourne,248
31-Mar-20,WA,Central North Metro,16
31-Mar-20,WA,Central South Metro,68
31-Mar-20,WA,North East Metro,184
31-Mar-20,WA,North Metro,29
31-Mar-20,WA,Other,16
31-Mar-20,WA,South East Metro,21
31-Mar-20,WA,South Metro,57
31-Dec-19,ACT,ACT,22
31-Dec-19,ACT,ACT - Other,<11
31-Dec-19,NSW,Central Coast,189
31-Dec-19,NSW,Hunter New England,781
31-Dec-19,NSW,Illawarra Shoalhaven,305
31-Dec-19,NSW,Mid North Coast,141
31-Dec-19,NSW,Murrumbidgee,227
31-Dec-19,NSW,NSW - Other,<11
31-Dec-19,NSW,Nepean Blue Mountains,341
31-Dec-19,NSW,North Sydney,670
31-Dec-19,NSW,Northern NSW,162
31-Dec-19,NSW,South Eastern Sydney,359
31-Dec-19,NSW,South Western Sydney,405
31-Dec-19,NSW,Southern NSW,135
31-Dec-19,NSW,Sydney,246
31-Dec-19,NSW,Western NSW,346
31-Dec-19,NSW,Western Sydney,609
31-Dec-19,NT,Central Australia,40
31-Dec-19,NT,Darwin Urban,80
31-Dec-19,NT,Katherine,15
31-Dec-19,NT,NT - Other,<11
31-Dec-19,QLD,Beenleigh,215
31-Dec-19,QLD,Brisbane,245
