SA2_NAME16,total_pop,ancestry_1,ancestry_2,total_ancestry,pop_prop,sa3_name_2016,sa4_name_2016,focus_area,greater_syd_pop,greater_syd_average_south_asian,area_diff
Hurstville,23613,2080,118,2198,0.09308431796044551,Hurstville,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,0.015789111910922804
Lethbridge Park - Tregear,20705,1707,193,1900,0.09176527408838445,Mount Druitt,Sydney - Blacktown,Greater Sydney,4495958,0.07729520604952271,0.014470068038861736
Greystanes - Pemulwuy,26307,2126,264,2390,0.09085034401490098,Merrylands - Guildford,Sydney - Parramatta,Greater Sydney,4495958,0.07729520604952271,0.013555137965378272
Campbelltown - Woodbine,18194,1458,167,1625,0.0893151588435748,Campbelltown (NSW),Sydney - Outer South West,Greater Sydney,4495958,0.07729520604952271,0.012019952794052088
Auburn - South,8487,645,106,751,0.0884882761871097,Auburn,Sydney - Parramatta,Greater Sydney,4495958,0.07729520604952271,0.011193070137586983
Hinchinbrook,12295,927,156,1083,0.08808458723058153,Bringelly - Green Valley,Sydney - South West,Greater Sydney,4495958,0.07729520604952271,0.010789381181058821
Berala,8898,693,85,778,0.08743537873679479,Auburn,Sydney - Parramatta,Greater Sydney,4495958,0.07729520604952271,0.010140172687272075
Concord West - North Strathfield,24850,2027,138,2165,0.08712273641851107,Canada Bay,Sydney - Inner West,Greater Sydney,4495958,0.07729520604952271,0.009827530368988355
Carlingford,27359,2148,178,2326,0.08501772725611316,Carlingford,Sydney - Parramatta,Greater Sydney,4495958,0.07729520604952271,0.007722521206590449
Mascot - Eastlakes,24407,1870,196,2066,0.08464784692915966,Botany,Sydney - City and Inner South,Greater Sydney,4495958,0.07729520604952271,0.007352640879636954
Pennant Hills - Cheltenham,20495,1557,168,1725,0.08416686996828494,Pennant Hills - Epping,Sydney - Ryde,Greater Sydney,4495958,0.07729520604952271,0.006871663918762233
Castle Hill - Central,7609,553,63,616,0.08095676172953081,Baulkham Hills,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,4495958,0.07729520604952271,0.0036615556800081023
Pagewood - Hillsdale - Daceyville,11374,765,119,884,0.07772111834007385,Botany,Sydney - City and Inner South,Greater Sydney,4495958,0.07729520604952271,4.259122905511392e-4
Castle Hill - South,9519,676,63,739,0.0776342052736632,Baulkham Hills,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,4495958,0.07729520604952271,3.3899922414049044e-4
Green Valley,12514,793,168,961,0.07679399073038197,Bringelly - Green Valley,Sydney - South West,Greater Sydney,4495958,0.07729520604952271,-5.012153191407409e-4
Belmore - Belfield,19033,1310,146,1456,0.07649871276204487,Canterbury,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,-7.964932874778424e-4
Homebush Bay - Silverwater,18733,1255,157,1412,0.0753750066727166,Auburn,Sydney - Parramatta,Greater Sydney,4495958,0.07729520604952271,-0.0019201993768061115
Burwood - Croydon,24653,1726,126,1852,0.07512270311929582,Strathfield - Burwood - Ashfield,Sydney - Inner West,Greater Sydney,4495958,0.07729520604952271,-0.0021725029302268883
Chatswood (West) - Lane Cove North,20857,1375,148,1523,0.07302104808937047,Chatswood - Lane Cove,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.07729520604952271,-0.004274157960152236
Greenacre - Mount Lewis,25964,1657,206,1863,0.0717531967339393,Bankstown,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,-0.005542009315583407
