location_name,SA4,address,latitude,longitude,access,train,ferry,lightrail,bus,taxi,regional_coach,regional_train,coach
Quakers Hill Station,Sydney - Blacktown,"Railway Pde, Quakers Hill NSW 2763",-33.728025,150.886725,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Queanbeyan Station,Outer,"Henderson Rd, Queanbeyan NSW 2620",-35.34289,149.227651,wheelchair_access,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Queens Wharf Light Rail,Outer,"Scott St, Newcastle NSW 2300",-32.926347,151.781564,wheelchair_access,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Quirindi Station,Outer,"Station St, Quirindi NSW 2343",-31.505399,150.681098,wheelchair_access,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
QVB Light Rail,Sydney - City and Inner South,"QVB, George St, Sydney NSW 2000",-33.871579,151.206961,wheelchair_access,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Randwick Light Rail,Sydney - Eastern Suburbs,"High St, Randwick NSW 2031",-33.917128,151.240527,wheelchair_access,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Regents Park Station,Sydney - Parramatta,"Park Rd, Regents Park NSW 2143",-33.882989,151.024188,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Revesby Station,Sydney - Inner South West,"Blamey St, Revesby NSW 2212",-33.95246,151.014838,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Rhodes Station,Sydney - Inner West,"Walker St, Rhodes NSW 2138",-33.83053,151.087032,wheelchair_access,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Richmond Station,Sydney - Outer West and Blue Mountains,"Market St, Richmond NSW 2753",-33.599112,150.753211,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Riverwood Station,Sydney - Inner South West,"William Rd, Riverwood NSW 2210",-33.951535,151.052035,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Rockdale Station,Sydney - Inner South West,"Geeves Ave, Rockdale NSW 2216",-33.95188,151.136862,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Rose Bay Wharf,Sydney - Eastern Suburbs,"New South Head Rd, Rose Bay NSW 2029",-33.870948,151.262122,wheelchair_access,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Royal Randwick Light Rail,Sydney - Eastern Suburbs,"Royal Randwick Racecourse, Randwick NSW 2031",-33.905183,151.22883,wheelchair_access,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Rozelle Bay Light Rail,Sydney - Inner West,"The Crescent, Annandale NSW 2038",-33.871811,151.172702,wheelchair_access,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Rydalmere Wharf,Sydney - Parramatta,"John St, Rydalmere NSW 2116",-33.81799,151.043754,wheelchair_access,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sawtell Station,Outer,"Hulberts Rd, Toormina NSW 2452",-30.359429,153.097419,wheelchair_access,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Schofields Station,Sydney - Blacktown,"Railway Tce, Schofields NSW 2762",-33.704477,150.873817,wheelchair_access,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Scone Station,Outer,"Susan St, Scone NSW 2337",-32.046941,150.866902,wheelchair_access,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sefton Station,Sydney - Parramatta,"Wellington Rd, Sefton NSW 2162",-33.885236,151.011283,wheelchair_access,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bombo Station,Outer,"Princes Hwy, Bombo NSW 2533",-34.658029,150.853976,wheelchair_access,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Seven Hills Station,Sydney - Blacktown,"The Centre, Terminus Rd, Seven Hills NSW 2147",-33.77443,150.936513,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
