SA2_NAME16,total_pop,ancestry_1,ancestry_2,total_ancestry,pop_prop,sa3_name_2016,sa4_name_2016,focus_area,greater_syd_pop,greater_syd_average_viet,area_diff
Hassall Grove - Plumpton,20673,140,30,170,0.00822328641222851,Mount Druitt,Sydney - Blacktown,Greater Sydney,4495958,0.02337165961069921,-0.0151483731984707
Oatley - Hurstville Grove,12614,85,18,103,0.008165530363088631,Hurstville,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,-0.015206129247610578
Lilyfield - Rozelle,13991,69,44,113,0.008076620684725895,Leichhardt,Sydney - Inner West,Greater Sydney,4495958,0.02337165961069921,-0.015295038925973314
Epping - North Epping,27093,172,46,218,0.008046358838076256,Pennant Hills - Epping,Sydney - Ryde,Greater Sydney,4495958,0.02337165961069921,-0.015325300772622953
Waitara - Wahroonga (West),9602,62,15,77,0.008019162674442824,Hornsby,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.02337165961069921,-0.015352496936256385
South Hurstville - Blakehurst,24070,145,47,192,0.007976734524304113,Hurstville,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,-0.015394925086395096
Bradbury - Wedderburn,18962,116,34,150,0.007910557958021305,Campbelltown (NSW),Sydney - Outer South West,Greater Sydney,4495958,0.02337165961069921,-0.015461101652677904
Campbelltown - Woodbine,18194,98,45,143,0.007859733978234583,Campbelltown (NSW),Sydney - Outer South West,Greater Sydney,4495958,0.02337165961069921,-0.015511925632464627
Eastwood - Denistone,25045,144,52,196,0.007825913355959273,Ryde - Hunters Hill,Sydney - Ryde,Greater Sydney,4495958,0.02337165961069921,-0.015545746254739937
Rooty Hill - Minchinbury,21152,137,27,164,0.007753403933434191,Mount Druitt,Sydney - Blacktown,Greater Sydney,4495958,0.02337165961069921,-0.01561825567726502
Katoomba - Leura,13222,89,13,102,0.007714415368325518,Blue Mountains,Sydney - Outer West and Blue Mountains,Greater Sydney,4495958,0.02337165961069921,-0.01565724424237369
Castle Hill - North,11886,79,12,91,0.0076560659599528855,Baulkham Hills,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,4495958,0.02337165961069921,-0.015715593650746325
Oatlands - Dundas Valley,17788,111,25,136,0.007645603777827749,Carlingford,Sydney - Parramatta,Greater Sydney,4495958,0.02337165961069921,-0.015726055832871462
Sans Souci - Ramsgate,15976,101,21,122,0.007636454682023034,Kogarah - Rockdale,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,-0.015735204928676173
Pagewood - Hillsdale - Daceyville,11374,72,13,85,0.007473184455776332,Botany,Sydney - City and Inner South,Greater Sydney,4495958,0.02337165961069921,-0.015898475154922875
Chatswood (East) - Artarmon,28683,177,37,214,0.0074608653209218,Chatswood - Lane Cove,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.02337165961069921,-0.01591079428977741
Minto - St Andrews,19887,109,38,147,0.007391763463569166,Campbelltown (NSW),Sydney - Outer South West,Greater Sydney,4495958,0.02337165961069921,-0.015979896147130045
Hornsby - East,11798,69,18,87,0.007374131208679437,Hornsby,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.02337165961069921,-0.015997528402019772
Peakhurst - Lugarno,17937,95,36,131,0.0073033394659084575,Hurstville,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,-0.016068320144790753
Cobbitty - Leppington,17890,103,25,128,0.007154835103409726,Bringelly - Green Valley,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,-0.016216824507289482
Pymble,16354,83,34,117,0.007154213036565978,Ku-ring-gai,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.02337165961069921,-0.01621744657413323
Randwick - South,13113,65,28,93,0.0070921985815602835,Eastern Suburbs - South,Sydney - Eastern Suburbs,Greater Sydney,4495958,0.02337165961069921,-0.016279461029138926
Ryde,27174,154,38,192,0.007065577390152351,Ryde - Hunters Hill,Sydney - Ryde,Greater Sydney,4495958,0.02337165961069921,-0.016306082220546858
Ingleburn - Denham Court,19985,115,26,141,0.007055291468601451,Campbelltown (NSW),Sydney - Outer South West,Greater Sydney,4495958,0.02337165961069921,-0.01631636814209776
West Pennant Hills,12640,68,21,89,0.007041139240506329,Baulkham Hills,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,4495958,0.02337165961069921,-0.01633052037019288
Ermington - Rydalmere,21423,111,37,148,0.0069084628670120895,Carlingford,Sydney - Parramatta,Greater Sydney,4495958,0.02337165961069921,-0.016463196743687118
Chatswood (West) - Lane Cove North,20857,103,38,141,0.006760320276166275,Chatswood - Lane Cove,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.02337165961069921,-0.016611339334532935
Castle Hill - South,9519,46,18,64,0.00672339531463389,Baulkham Hills,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,4495958,0.02337165961069921,-0.01664826429606532
Five Dock - Abbotsford,20440,108,29,137,0.006702544031311155,Canada Bay,Sydney - Inner West,Greater Sydney,4495958,0.02337165961069921,-0.016669115579388057
St Leonards - Naremburn,10500,55,14,69,0.006571428571428572,Chatswood - Lane Cove,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.02337165961069921,-0.016800231039270638
Maroubra - West,10195,46,20,66,0.006473761647866601,Eastern Suburbs - South,Sydney - Eastern Suburbs,Greater Sydney,4495958,0.02337165961069921,-0.016897897962832607
Kogarah Bay - Carlton - Allawah,15965,77,26,103,0.0064516129032258064,Kogarah - Rockdale,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,-0.016920046707473404
Pennant Hills - Cheltenham,20495,107,24,131,0.006391802878750915,Pennant Hills - Epping,Sydney - Ryde,Greater Sydney,4495958,0.02337165961069921,-0.016979856731948295
Baulkham Hills (West) - Bella Vista,20068,92,36,128,0.006378313733306757,Baulkham Hills,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,4495958,0.02337165961069921,-0.01699334587739245
Botany,10822,48,21,69,0.006375900942524487,Botany,Sydney - City and Inner South,Greater Sydney,4495958,0.02337165961069921,-0.016995758668174724
North Sydney - Lavender Bay,10703,56,12,68,0.006353358871344483,North Sydney - Mosman,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.02337165961069921,-0.017018300739354727
Crows Nest - Waverton,18026,77,37,114,0.006324198380117608,North Sydney - Mosman,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.02337165961069921,-0.017047461230581602
Parramatta - Rosehill,29243,150,34,184,0.006292104093287282,Parramatta,Sydney - Parramatta,Greater Sydney,4495958,0.02337165961069921,-0.01707955551741193
Hornsby - West,10684,50,17,67,0.006271059528266567,Hornsby,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.02337165961069921,-0.017100600082432645
Leumeah - Minto Heights,16541,84,19,103,0.006226951212139532,Campbelltown (NSW),Sydney - Outer South West,Greater Sydney,4495958,0.02337165961069921,-0.017144708398559676
Wentworthville - Westmead,15599,83,11,94,0.006026027309442913,Parramatta,Sydney - Parramatta,Greater Sydney,4495958,0.02337165961069921,-0.017345632301256297
Potts Point - Woolloomooloo,21200,98,29,127,0.005990566037735849,Sydney Inner City,Sydney - City and Inner South,Greater Sydney,4495958,0.02337165961069921,-0.01738109357296336
Auburn - North,11325,48,19,67,0.005916114790286976,Auburn,Sydney - Parramatta,Greater Sydney,4495958,0.02337165961069921,-0.017455544820412235
Maroubra - South,10681,57,6,63,0.005898324126954405,Eastern Suburbs - South,Sydney - Eastern Suburbs,Greater Sydney,4495958,0.02337165961069921,-0.017473335483744804
Claymore - Eagle Vale - Raby,20405,94,25,119,0.005831903945111492,Campbelltown (NSW),Sydney - Outer South West,Greater Sydney,4495958,0.02337165961069921,-0.017539755665587718
Carlingford,27359,121,38,159,0.005811615921634563,Carlingford,Sydney - Parramatta,Greater Sydney,4495958,0.02337165961069921,-0.017560043689064646
Asquith - Mount Colah,18291,93,13,106,0.005795199825050571,Hornsby,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.02337165961069921,-0.01757645978564864
Randwick - North,16874,69,28,97,0.005748488799336257,Eastern Suburbs - South,Sydney - Eastern Suburbs,Greater Sydney,4495958,0.02337165961069921,-0.017623170811362953
Balmain,15686,70,19,89,0.005673849292362617,Leichhardt,Sydney - Inner West,Greater Sydney,4495958,0.02337165961069921,-0.017697810318336595
Lindfield - Roseville,23147,93,38,131,0.005659480710243228,Ku-ring-gai,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.02337165961069921,-0.017712178900455983
Mortdale - Penshurst,23907,105,30,135,0.005646881666457523,Hurstville,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,-0.017724777944241685
Lane Cove - Greenwich,26733,102,43,145,0.005424007780645644,Chatswood - Lane Cove,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.02337165961069921,-0.017947651830053566
Doonside - Woodcroft,22526,99,23,122,0.00541596377519311,Blacktown,Sydney - Blacktown,Greater Sydney,4495958,0.02337165961069921,-0.0179556958355061
Turramurra,19267,71,33,104,0.00539783048736181,Ku-ring-gai,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.02337165961069921,-0.0179738291233374
Castle Hill - Central,7609,33,8,41,0.005388355894335655,Baulkham Hills,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,4495958,0.02337165961069921,-0.017983303716363554
Toongabbie - Constitution Hill,21936,82,33,115,0.005242523705324581,Parramatta,Sydney - Parramatta,Greater Sydney,4495958,0.02337165961069921,-0.018129135905374627
Malabar - La Perouse - Chifley,24036,90,36,126,0.005242136794807789,Eastern Suburbs - South,Sydney - Eastern Suburbs,Greater Sydney,4495958,0.02337165961069921,-0.01812952281589142
St Marys - North St Marys,16074,76,7,83,0.005163618265521961,St Marys,Sydney - Outer West and Blue Mountains,Greater Sydney,4495958,0.02337165961069921,-0.01820804134517725
Seven Hills - Toongabbie,23920,100,23,123,0.005142140468227425,Blacktown,Sydney - Blacktown,Greater Sydney,4495958,0.02337165961069921,-0.018229519142471784
Dee Why - North Curl Curl,24949,104,24,128,0.005130466150947934,Warringah,Sydney - Northern Beaches,Greater Sydney,4495958,0.02337165961069921,-0.018241193459751275
Sylvania - Taren Point,15940,59,22,81,0.005081555834378921,Cronulla - Miranda - Caringbah,Sydney - Sutherland,Greater Sydney,4495958,0.02337165961069921,-0.018290103776320288
Baulkham Hills (East),22943,93,23,116,0.0050560083685655755,Baulkham Hills,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,4495958,0.02337165961069921,-0.018315651242133635
Blacktown (West),16154,67,13,80,0.004952333787297264,Blacktown,Sydney - Blacktown,Greater Sydney,4495958,0.02337165961069921,-0.018419325823401944
Blacktown (South),12325,52,9,61,0.004949290060851927,Blacktown,Sydney - Blacktown,Greater Sydney,4495958,0.02337165961069921,-0.018422369549847283
Northmead,20383,74,26,100,0.004906049158612569,Parramatta,Sydney - Parramatta,Greater Sydney,4495958,0.02337165961069921,-0.01846561045208664
Beacon Hill - Narraweena,13882,50,18,68,0.004898429621092062,Warringah,Sydney - Northern Beaches,Greater Sydney,4495958,0.02337165961069921,-0.018473229989607147
Gordon - Killara,21328,65,38,103,0.004829332333083271,Ku-ring-gai,Sydney - North Sydney and Hornsby,Greater Sydney,4495958,0.02337165961069921,-0.018542327277615938
Castle Hill - East,5594,19,8,27,0.004826599928494816,Baulkham Hills,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,4495958,0.02337165961069921,-0.018545059682204393
Cherrybrook,18768,58,32,90,0.00479539641943734,Baulkham Hills,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney,4495958,0.02337165961069921,-0.01857626319126187
