x,y,objectid,asset_id,tree_type,species_name,common_name,tree_height,tree_canopy_ew,tree_canopy_ns,tree_status
151.190832226383,-33.877196277664,45006,TS26815,Street Tree,Jacaranda mimosifolia,Jacaranda,12,14,13,Tree
151.181741316936,-33.8783391135278,45011,TS26860,Street Tree,Lagerstroemia indica,Crepe Myrtle,5,6,7,Tree
151.182133437639,-33.8779313641107,45015,TS39393,Street Tree,Lagerstroemia indica,Crepe Myrtle,4,2,2,Tree
151.182592411085,-33.8776642786774,45016,TS40917,Street Tree,Lagerstroemia indica,Crepe Myrtle,3,1,2,Tree
151.183689427827,-33.8770513159288,45017,TS26898,Street Tree,Lagerstroemia indica,Crepe Myrtle,7,6,6,Tree
151.194630455929,-33.8810253258215,45036,TS27018,Street Tree,Jacaranda mimosifolia,Jacaranda,3,2,2,Tree
151.18574890315,-33.8838186311958,45057,TS32345,Street Tree,Lagerstroemia indica,Crepe Myrtle,4,2,3,Tree
151.18922923658,-33.8791424826269,45072,TS27248,Street Tree,Jacaranda mimosifolia,Jacaranda,6,6,8,Tree
151.189493990183,-33.8794809187998,45073,TS27250,Street Tree,Lagerstroemia indica,Crepe Myrtle,5,4,4,Tree
151.184636370387,-33.873299347191,45076,TS27283,Street Tree,Lagerstroemia indica,Crepe Myrtle,6,5,5,Tree
151.183500385966,-33.8739223856513,45077,TS27277,Street Tree,Lagerstroemia indica,Crepe Myrtle,5,4,4,Tree
151.183966340024,-33.8736613488665,45078,TS27278,Street Tree,Lagerstroemia indica,Crepe Myrtle,4,2,2,Tree
151.184276075281,-33.8735076592679,45079,TS27293,Street Tree,Lagerstroemia indica,Crepe Myrtle,6,3,3,Tree
151.17790638142,-33.8823053636749,45087,TS27366,Street Tree,Lagerstroemia indica,Crepe Myrtle,5,6,5,Tree
151.190659294123,-33.878407838437,45107,TS27453,Street Tree,Lagerstroemia indica,Crepe Myrtle,4,5,6,Tree
151.18825749402,-33.8823448730324,45124,TS27532,Street Tree,Lagerstroemia indica,Crepe Myrtle,4,2,1,Tree
151.189352822359,-33.8831124860443,45126,TS27577,Street Tree,Lagerstroemia indica,Crepe Myrtle,5,6,5,Tree
151.18470542884,-33.8753013207363,45152,TS39440,Street Tree,Lagerstroemia indica,Crepe Myrtle,4,1,1,Tree
151.185531434598,-33.874818345111,45153,TS39442,Street Tree,Lagerstroemia indica,Crepe Myrtle,5,2,2,Tree
151.184918457898,-33.8751863319467,45154,TS40947,Street Tree,Lagerstroemia indica,Crepe Myrtle,2,1,1,Tree
151.18585315292,-33.8746042312989,45155,TS27676,Street Tree,Lagerstroemia indica,Crepe Myrtle,6,8,10,Tree
151.185833396774,-33.8747153050009,45156,TS40948,Street Tree,Lagerstroemia indica,Crepe Myrtle,3,1,2,Tree
151.185740430149,-33.8747763362071,45157,TS40952,Street Tree,Lagerstroemia indica,Crepe Myrtle,3,2,3,Tree
151.191573335077,-33.8801826255117,45225,TS28340,Street Tree,Lagerstroemia indica,Crepe Myrtle,4,2,2,Tree
151.192674953197,-33.8789809949275,45227,TS28356,Street Tree,Lagerstroemia indica,Crepe Myrtle,6,7,10,Tree
151.185882222088,-33.8827458146858,45228,TS28381,Street Tree,Jacaranda mimosifolia,Jacaranda,5,5,6,Tree
151.185406534121,-33.8824126500433,45229,TS28387,Street Tree,Jacaranda mimosifolia,Jacaranda,5,4,4,Tree
151.18594702845,-33.8827896917566,45231,TS28367,Street Tree,Jacaranda mimosifolia,Jacaranda,5,6,7,Tree
151.186492143658,-33.8833368667635,45232,TS28375,Street Tree,Jacaranda mimosifolia,Jacaranda,5,4,4,Tree
151.186029970552,-33.8828451075727,45233,TS28380,Street Tree,Jacaranda mimosifolia,Jacaranda,4,2,2,Tree
151.181054246535,-33.8807290319102,45239,TS28465,Street Tree,Lagerstroemia indica,Crepe Myrtle,6,5,3,Tree
151.182026057112,-33.8845167826774,45247,TS28499,Street Tree,Lagerstroemia indica,Crepe Myrtle,4,3,2,Tree
151.182869477217,-33.8834062957819,45248,TS28525,Street Tree,Lagerstroemia indica,Crepe Myrtle,6,7,7,Tree
151.182727466214,-33.8834903165827,45249,TS28527,Street Tree,Lagerstroemia indica,Crepe Myrtle,6,7,6,Tree
151.182183395694,-33.8837613760184,45250,TS28528,Street Tree,Lagerstroemia indica,Crepe Myrtle,6,6,7,Tree
151.181924380539,-33.8839074218548,45252,TS28531,Street Tree,Lagerstroemia indica,Crepe Myrtle,4,3,3,Tree
151.183850904946,-33.8830167016243,45254,TS28546,Street Tree,Lagerstroemia indica,Crepe Myrtle,4,5,4,Tree
151.184302029549,-33.8827537328494,45255,TS28550,Street Tree,Lagerstroemia indica,Crepe Myrtle,5,6,6,Tree
151.185648413651,-33.8820133169072,45258,TS28558,Street Tree,Lagerstroemia indica,Crepe Myrtle,6,2,4,Tree
151.185777405593,-33.8817932993003,45259,TS40977,Street Tree,Lagerstroemia indica,Crepe Myrtle,3,2,2,Tree
151.186180476335,-33.8817313342034,45260,TS28570,Street Tree,Lagerstroemia indica,Crepe Myrtle,4,5,5,Tree
151.18643642509,-33.8814383409963,45261,TS28574,Street Tree,Lagerstroemia indica,Crepe Myrtle,6,7,8,Tree
151.188360441157,-33.8805642833834,45262,TS28592,Street Tree,Lagerstroemia indica,Crepe Myrtle,3,2,2,Tree
151.18889036466,-33.8801473571567,45263,TS28605,Street Tree,Lagerstroemia indica,Crepe Myrtle,7,7,6,Tree
151.18855742295,-33.8803342613287,45264,TS28596,Street Tree,Lagerstroemia indica,Crepe Myrtle,5,6,6,Tree
151.189331413845,-33.879899280173,45265,TS28612,Street Tree,Lagerstroemia indica,Crepe Myrtle,6,5,6,Tree
151.191093402239,-33.8790462420202,45266,TS28634,Street Tree,Lagerstroemia indica,Crepe Myrtle,6,7,6,Tree
151.191797108543,-33.8786670222785,45268,TS28648,Street Tree,Lagerstroemia indica,Crepe Myrtle,5,6,6,Tree
151.191690462104,-33.8785975559397,45269,TS28645,Street Tree,Lagerstroemia indica,Crepe Myrtle,4,3,3,Tree
151.191635237562,-33.8786273142123,45270,TS28643,Street Tree,Lagerstroemia indica,Crepe Myrtle,4,2,3,Tree
151.183277390359,-33.8796843536146,45294,TS40986,Street Tree,Lagerstroemia indica,Crepe Myrtle,3,1,1,Tree
151.183340416586,-33.8796233337765,45295,TS40988,Street Tree,Lagerstroemia indica,Crepe Myrtle,2,2,2,Tree
151.183010457253,-33.879215300884,45296,TS40989,Street Tree,Lagerstroemia indica,Crepe Myrtle,3,2,2,Tree
151.191251458308,-33.878959380906,45313,TS28884,Street Tree,Lagerstroemia indica,Crepe Myrtle,5,5,5,Tree
151.183935207367,-33.8779828269193,45366,TS29020,Street Tree,Jacaranda mimosifolia,Jacaranda,11,7,5,Tree
151.187971414085,-33.8786023318943,45391,TS27981,Street Tree,Lagerstroemia indica,Crepe Myrtle,4,2,1,Tree
151.178370342283,-33.8827157522526,45398,TS29047,Street Tree,Lagerstroemia indica,Crepe Myrtle,7,4,6,Tree
151.178442308715,-33.8827074384372,45400,TS29050,Street Tree,Lagerstroemia indica,Crepe Myrtle,3,3,4,Tree
151.183000361862,-33.8730212999118,45407,TS33217,Street Tree,Jacaranda mimosifolia,Jacaranda,12,8,12,Tree
151.186737756548,-33.8788574058845,45409,TS29088,Street Tree,Lagerstroemia indica,Crepe Myrtle,4,3,3,Tree
151.187323427832,-33.8785392355197,45410,TS39531,Street Tree,Lagerstroemia indica,Crepe Myrtle,4,1,1,Tree
151.187648455927,-33.8784553769312,45411,TS32562,Street Tree,Lagerstroemia indica,Crepe Myrtle,3,1,1,Tree
151.178638771098,-33.8824372078197,45431,TS28032,Street Tree,Lagerstroemia indica,Crepe Myrtle,6,4,4,Tree
151.18053315889,-33.8812981769736,45433,TS28038,Street Tree,Lagerstroemia indica,Crepe Myrtle,4,4,3,Tree
151.184032197957,-33.8794464232522,45436,TS28060,Street Tree,Lagerstroemia indica,Crepe Myrtle,5,4,3,Tree
151.181014670654,-33.8839074274255,45439,TS35344,Street Tree,Lagerstroemia indica,Crepe Myrtle,4,1,1,Tree
151.181161698161,-33.8840965283089,45440,TS35346,Street Tree,Lagerstroemia indica,Crepe Myrtle,3,1,1,Tree
151.187001796343,-33.8785187220144,45447,TS28114,Street Tree,Jacaranda mimosifolia,Jacaranda,7,7,8,Tree
151.186816476631,-33.8959302376853,45502,TS29315,Street Tree,Jacaranda mimosifolia,Jacaranda,7,7,7,Tree
151.18691535052,-33.8958875082721,45503,TS29316,Street Tree,Jacaranda mimosifolia,Jacaranda,7,7,6,Tree
151.190045106962,-33.8818530134396,45518,TS28318,Street Tree,Lagerstroemia indica,Crepe Myrtle,5,5,5,Tree
151.190931460278,-33.8808843114875,45521,TS28333,Street Tree,Lagerstroemia indica,Crepe Myrtle,4,3,4,Tree
151.191684750126,-33.8800569356381,45523,TS28343,Street Tree,Lagerstroemia indica,Crepe Myrtle,4,4,4,Tree
151.186655934852,-33.8832810258428,45526,TS28400,Street Tree,Jacaranda mimosifolia,Jacaranda,5,8,6,Tree
151.186499833227,-33.8831727736888,45527,TS28373,Street Tree,Jacaranda mimosifolia,Jacaranda,8,8,6,Tree
151.186241968301,-33.8830044100933,45528,TS28374,Street Tree,Jacaranda mimosifolia,Jacaranda,10,14,12,Tree
151.185537159213,-33.8825087155295,45529,TS28388,Street Tree,Jacaranda mimosifolia,Jacaranda,12,10,11,Tree
151.185311837483,-33.882509003296,45532,TS28384,Street Tree,Jacaranda mimosifolia,Jacaranda,4,3,3,Tree
